,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
339,Ratnagiri,IN,16.9833,73.3,79.0,83,100,7.11,overcast clouds
340,Esperance,AU,-33.8667,121.9,54.23,72,94,16.67,overcast clouds
341,Soyo,AO,-6.1349,12.3689,68.77,88,84,5.14,broken clouds
342,Cockburn Town,TC,21.4612,-71.1419,78.76,83,75,18.41,light intensity drizzle
343,Warsaw,PL,52.2298,21.0118,78.82,63,0,4.61,clear sky
344,Souillac,MU,-20.5167,57.5167,70.18,83,75,17.27,light intensity shower rain
345,Lagoa,PT,39.05,-27.9833,72.48,90,100,8.95,overcast clouds
346,Bandarbeyla,SO,9.4942,50.8122,77.41,79,52,31.68,broken clouds
347,Samarai,PG,-10.6167,150.6667,79.45,81,32,4.29,scattered clouds
348,Lingyuan,CN,41.24,119.4011,69.42,85,100,2.89,moderate rain
349,Fukue,JP,32.6881,128.8419,77.65,74,55,4.43,broken clouds
350,Port Moresby,PG,-9.4431,147.1797,78.22,89,75,11.5,broken clouds
351,Biak,ID,-0.9131,122.8766,75.11,89,56,7.4,broken clouds
352,Casa Branca,BR,-21.7739,-47.0864,79.63,34,16,6.38,few clouds
353,Shanhetun,CN,44.7,127.2,62.76,94,3,3.69,clear sky
354,Alta Floresta,BR,-9.8756,-56.0861,94.82,24,20,2.3,few clouds
355,Kolokani,ML,13.5728,-8.0339,80.82,66,81,4.9,broken clouds
356,Egvekinot,RU,66.3167,-179.1667,38.84,81,100,9.64,overcast clouds
357,Kingston,JM,17.997,-76.7936,86.95,75,40,25.32,scattered clouds
358,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,85,0,13.65,clear sky
359,Quatre Cocos,MU,-20.2078,57.7625,69.91,78,13,16.11,light rain
360,Linhares,BR,-19.3911,-40.0722,70.68,78,18,6.67,few clouds
361,Odweyne,SO,9.4092,45.064,72.32,53,4,18.28,clear sky
362,Coronado,US,32.6859,-117.1831,90.88,69,98,10.0,overcast clouds
363,Khandbari,NP,27.3747,87.2039,71.73,95,100,2.33,overcast clouds
364,Khandyga,RU,62.6667,135.6,65.75,95,100,1.77,light rain
365,Cherskiy,RU,68.75,161.3,44.64,61,11,3.89,few clouds
366,Abu Kamal,SY,34.4506,40.9171,89.8,17,0,9.22,clear sky
367,Eruwa,NG,7.5333,3.4167,72.52,96,100,6.87,moderate rain
368,Busko-Zdroj,PL,50.4708,20.7188,73.85,79,40,2.06,scattered clouds
369,North Battleford,CA,52.7834,-108.2847,72.41,52,20,18.41,few clouds
370,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,82.74,36,93,4.07,overcast clouds
371,Sao Felix Do Xingu,BR,-6.6447,-51.995,85.05,35,9,2.82,clear sky
372,Yafran,LY,32.0633,12.5286,73.63,43,0,8.46,clear sky
373,Socorro,US,31.6546,-106.3033,99.61,24,40,0.0,scattered clouds
374,Erzin,TR,36.9559,36.2,76.35,57,0,2.3,clear sky
375,Mangrol,IN,21.1167,70.1167,80.8,83,91,16.89,overcast clouds
376,Laurel,US,39.0993,-76.8483,96.89,45,40,9.22,scattered clouds
377,Lorengau,PG,-2.0226,147.2712,81.55,80,27,9.48,scattered clouds
378,Dzilam Gonzalez,MX,21.2833,-88.9333,85.1,68,71,12.03,broken clouds
379,Dodoma,TZ,-6.1722,35.7395,62.51,72,20,11.5,few clouds
380,Karaton,ID,-6.3424,106.1045,72.36,94,96,2.19,overcast clouds
381,Arcachon,FR,44.5875,-1.0519,66.52,77,40,4.61,scattered clouds
382,Tabatinga,BR,-4.2525,-69.9381,82.49,69,40,6.91,thunderstorm
383,Newport,GB,51.5877,-2.9984,65.44,73,12,6.91,few clouds
384,Elko,US,41.0002,-115.5012,96.75,9,41,15.99,scattered clouds
385,Monforte De Lemos,ES,42.5216,-7.5142,66.58,84,2,3.04,clear sky
386,The Valley,AI,18.217,-63.0578,86.14,58,40,16.11,scattered clouds
387,Cabedelo,BR,-6.9811,-34.8339,75.87,80,95,15.84,light rain
388,Bobo Dioulasso,BF,11.1771,-4.2979,74.25,88,98,5.17,overcast clouds
389,Tias,ES,28.9611,-13.645,73.08,83,40,21.85,scattered clouds
390,Phalombe,MW,-15.8064,35.6507,59.4,79,8,4.16,clear sky
391,Altay,CN,47.8667,88.1167,60.06,77,81,1.39,broken clouds
392,Otradnoye,RU,59.7775,30.8181,71.65,71,13,6.38,few clouds
393,Avera,US,33.194,-82.5271,90.37,60,100,6.49,overcast clouds
394,Mahon,ES,39.8885,4.2658,79.36,83,0,4.61,clear sky
395,Cumra,TR,37.5732,32.7745,67.46,32,0,7.67,clear sky
396,Rizomilos,GR,39.4333,22.75,78.39,43,0,2.66,clear sky
397,Coquimbo,CL,-29.9533,-71.3436,55.13,87,100,2.3,overcast clouds
398,Olafsvik,IS,64.8945,-23.7142,54.1,78,15,3.49,few clouds
399,Bembereke,BJ,10.2283,2.6634,71.29,93,74,3.76,light rain
400,Valente,BR,-11.4122,-39.4619,73.06,58,97,10.58,overcast clouds
401,Broome,US,42.2506,-75.833,91.53,49,22,3.0,few clouds
402,Jaru,BR,-10.4389,-62.4664,93.9,31,7,1.59,clear sky
403,Benito Juarez,MX,19.385,-99.165,82.94,30,66,5.99,broken clouds
404,Beaverlodge,CA,55.2166,-119.4361,72.75,45,35,3.87,scattered clouds
405,Reconquista,AR,-29.15,-59.65,68.76,76,72,11.68,broken clouds
406,Xining,CN,36.6167,101.7667,50.4,69,0,2.66,clear sky
407,Zyryanskoye,RU,56.8306,86.6258,59.14,97,100,12.21,light rain
408,Talnakh,RU,69.4865,88.3972,61.21,57,66,5.08,broken clouds
409,Benton Harbor,US,42.1167,-86.4542,90.84,40,7,1.01,clear sky
410,Klaksvik,FO,62.2266,-6.589,50.92,82,100,7.58,overcast clouds
411,Pitsunda,GE,43.1592,40.3378,64.58,73,7,6.44,clear sky
412,Constantine,DZ,36.365,6.6147,83.61,32,40,5.75,scattered clouds
413,Boyarka,UA,50.3191,30.2973,70.05,72,1,6.82,clear sky
414,Christchurch,NZ,-43.5333,172.6333,39.4,93,75,1.14,broken clouds
415,Quang Ngai,VN,15.1167,108.8,74.82,90,76,3.49,broken clouds
416,Etaples,FR,50.5219,1.6332,66.4,72,0,5.75,clear sky
417,Havoysund,NO,70.9963,24.6622,52.03,88,65,22.08,broken clouds
418,Mount Gambier,AU,-37.8333,140.7667,50.95,97,100,8.7,moderate rain
419,Nisia Floresta,BR,-6.0911,-35.2086,80.98,87,100,11.27,overcast clouds
420,Le Passage,FR,44.2014,0.6028,73.54,60,0,11.5,clear sky
421,Dourbali,TD,11.8091,15.8632,82.33,65,100,4.85,light rain
422,Nykoping,SE,58.753,17.0079,64.26,94,100,6.91,overcast clouds
423,Ust-Kuyga,RU,70.0167,135.6,66.45,53,13,2.53,few clouds
424,Midland,US,31.9974,-102.0779,102.06,26,40,11.01,scattered clouds
425,Bucerias,MX,20.75,-105.3333,91.98,70,49,10.96,scattered clouds
426,Hornepayne,CA,49.2138,-84.7705,68.92,63,96,10.18,overcast clouds
427,Kamariotissa,GR,40.4833,25.4667,78.4,65,0,10.83,clear sky
428,Bhavnagar,IN,21.7667,72.15,80.26,83,99,15.5,overcast clouds
429,Portales,US,34.1862,-103.3344,98.94,28,62,19.95,broken clouds
430,Raudeberg,NO,61.9875,5.1352,59.67,86,77,24.11,broken clouds
431,Rockhampton,AU,-23.3833,150.5,57.09,77,4,5.75,clear sky
432,San Patricio,US,28.017,-97.5169,98.19,43,3,16.8,clear sky
433,Bismarck,US,46.8083,-100.7837,96.66,29,20,5.75,few clouds
434,Ndioum,SN,16.5129,-14.6471,90.48,51,82,10.16,light rain
435,Shimoda,JP,34.6667,138.95,79.11,84,0,18.19,clear sky
436,Bjerkvik,NO,68.5597,17.5189,50.99,85,100,8.5,overcast clouds
437,Batagay-Alyta,RU,67.8006,130.4114,60.67,91,100,0.85,overcast clouds
438,Tuatapere,NZ,-46.1333,167.6833,36.34,92,14,3.94,few clouds
439,Mlalo,TZ,-4.9333,38.9333,66.72,93,26,5.44,light rain
440,Coihaique,CL,-45.5752,-72.0662,26.55,86,0,6.91,clear sky
441,Mabaruma,GY,8.2,-59.7833,82.35,71,12,5.59,few clouds
442,Yingcheng,CN,30.95,113.55,73.67,93,100,9.95,overcast clouds
443,Kathmandu,NP,27.7167,85.3167,68.22,100,75,3.44,moderate rain
444,Ixtapa,MX,20.7,-105.2,91.22,70,60,1.99,broken clouds
445,San Policarpo,PH,12.1791,125.5072,80.28,81,100,0.96,overcast clouds
446,Port Hawkesbury,CA,45.6169,-61.3485,82.9,88,100,8.05,overcast clouds
447,Guanica,PR,17.9716,-66.908,87.51,77,57,13.89,broken clouds
448,Boromo,BF,11.75,-2.9333,79.03,78,42,6.35,light rain
449,Zaraza,VE,9.3503,-65.3245,92.55,41,23,6.44,few clouds
450,Coihueco,CL,-36.6167,-71.8333,63.34,59,0,3.44,clear sky
451,Concordia,AR,-31.393,-58.0209,68.07,88,75,7.0,broken clouds
452,Porong,ID,-7.5452,112.6955,75.11,82,60,3.94,broken clouds
453,Ketchikan,US,55.3422,-131.6461,59.02,83,99,2.15,overcast clouds
454,Wanning,CN,18.8003,110.3967,78.19,88,8,3.62,clear sky
455,Bar Harbor,US,44.3876,-68.2039,87.35,54,40,14.97,scattered clouds
456,San Jose,US,37.3394,-121.895,94.89,41,20,13.8,few clouds
457,Kimbe,PG,-5.5502,150.1429,75.87,91,51,3.89,broken clouds
458,Esso,RU,55.9333,158.7,59.22,63,39,5.03,scattered clouds
459,Itarema,BR,-2.9248,-39.9167,79.77,78,80,17.0,broken clouds
460,Kyshtovka,RU,56.555,76.6271,53.01,77,25,4.97,scattered clouds
461,Ahipara,NZ,-35.1667,173.1667,51.01,80,100,8.05,overcast clouds
462,Plouzane,FR,48.3833,-4.6167,60.85,80,0,9.22,clear sky
463,Pangnirtung,CA,66.1451,-65.7125,48.2,87,20,10.36,few clouds
464,Bensonville,LR,6.4461,-10.6125,78.35,85,80,5.26,broken clouds
465,Las Vegas,US,36.175,-115.1372,113.27,10,75,8.05,broken clouds
466,Manavgat,TR,36.7867,31.4431,80.91,43,0,5.39,clear sky
467,Sidi Ali,DZ,36.0998,0.4206,75.94,75,0,4.76,clear sky
468,Greeley,US,40.4233,-104.7091,101.05,16,0,4.61,clear sky
469,Vostok,RU,46.4856,135.8833,58.84,95,96,2.3,overcast clouds
470,Ostersund,SE,63.1792,14.6357,52.61,82,100,8.05,overcast clouds
471,Cap Malheureux,MU,-19.9842,57.6142,69.48,74,1,4.0,clear sky
472,Maniitsoq,GL,65.4167,-52.9,44.96,88,82,4.32,broken clouds
473,Bay Roberts,CA,47.5999,-53.2648,79.05,56,42,7.0,scattered clouds
474,Nushki,PK,29.5542,66.0215,86.7,39,100,13.27,overcast clouds
475,Trincomalee,LK,8.5711,81.2335,80.2,80,100,21.94,overcast clouds
476,Birjand,IR,32.8663,59.2211,84.67,12,0,6.91,clear sky
477,Arman,RU,59.7,150.1667,61.02,69,65,1.57,broken clouds
478,Grindavik,IS,63.8424,-22.4338,55.35,87,75,5.75,broken clouds
479,Lasa,IT,46.6166,10.7002,68.09,83,85,2.48,overcast clouds
480,Oussouye,SN,12.485,-16.5469,77.18,91,100,12.91,moderate rain
481,Santiago Del Estero,AR,-27.7951,-64.2615,77.38,44,78,5.21,broken clouds
482,Kulhudhuffushi,MV,6.6221,73.07,81.7,77,100,16.04,overcast clouds
483,Huron,US,41.1501,-82.5499,88.18,62,48,10.02,scattered clouds
484,Sarkand,KZ,45.41,79.9186,73.26,33,4,5.99,clear sky
485,Sanchor,IN,24.7553,71.7722,83.8,80,94,15.12,overcast clouds
486,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,57.79,77,75,4.47,broken clouds
487,Salinas,US,36.6777,-121.6555,96.57,57,20,10.36,few clouds
488,Keflavik,IS,64.0049,-22.5624,55.31,87,75,5.75,broken clouds
489,Ulaanbaatar,MN,47.9077,106.8832,53.73,71,40,6.71,light rain
490,Awbari,LY,26.5921,12.7805,83.7,19,0,8.12,clear sky
491,Ambilobe,MG,-13.2,49.05,64.0,79,0,4.09,clear sky
492,Loandjili,CG,-4.7561,11.8578,68.94,89,62,3.24,broken clouds
493,Baykit,RU,61.67,96.37,57.78,96,99,3.24,overcast clouds
494,Hof,DE,50.3167,11.9167,70.83,56,64,5.75,broken clouds
495,Nishihara,JP,26.1842,127.7558,83.68,89,75,12.66,broken clouds
496,Gbely,SK,48.718,17.1163,80.4,58,0,7.83,clear sky
497,Asau,RO,46.4333,26.4,73.96,69,5,4.43,clear sky
498,Algiers,DZ,36.7525,3.042,76.82,83,40,4.61,scattered clouds
499,Vao,NC,-22.6667,167.4833,74.43,88,81,23.47,broken clouds
500,Houlton,US,46.1262,-67.8403,83.71,52,35,6.29,scattered clouds
501,Warmbad,NA,-28.45,18.7333,65.1,25,70,3.58,broken clouds
502,Laguna,US,38.421,-121.4238,100.76,22,0,8.05,clear sky
503,San Pedro,PH,14.35,121.0167,81.63,87,40,2.3,scattered clouds
504,Chardara,KZ,41.2547,67.9692,90.39,22,0,17.63,clear sky
505,Tateyama,JP,34.9833,139.8667,79.11,84,0,17.85,clear sky
506,Brenham,US,30.1669,-96.3977,100.74,33,40,5.75,scattered clouds
507,Sorong,ID,-0.8833,131.25,76.64,89,84,10.0,broken clouds
508,Ulagan,RU,50.6321,87.9563,48.13,94,61,2.53,broken clouds
509,Lata,PT,40.1629,-8.3327,60.67,85,7,2.77,clear sky
510,Pavino,RU,59.1139,46.1414,60.1,87,54,4.99,broken clouds
511,Kibiti,TZ,-7.7218,38.9375,65.28,97,0,1.86,clear sky
512,Namatanai,PG,-3.6667,152.4333,79.2,76,9,6.31,clear sky
513,Wladyslawowo,PL,54.7909,18.4009,67.55,90,5,8.01,clear sky
514,Borazjan,IR,29.2666,51.2159,94.95,44,5,2.8,clear sky
515,Emba,KZ,48.8264,58.1442,72.3,49,27,4.21,scattered clouds
516,Ayagoz,KZ,47.9714,80.4392,67.21,34,100,13.6,overcast clouds
517,Ola,RU,59.5833,151.2833,61.14,69,39,2.42,scattered clouds
518,Pacifica,US,37.6138,-122.4869,88.0,78,0,13.8,haze
519,Borogontsy,RU,62.6683,131.1683,64.22,92,100,3.29,overcast clouds
520,Marshfield,US,44.6689,-90.1718,87.66,59,9,9.48,clear sky
521,Biabas,PH,9.8,124.4667,77.02,88,65,1.16,broken clouds
522,Riyadh,SA,24.6877,46.7219,95.14,18,27,8.37,scattered clouds
523,Kavieng,PG,-2.5744,150.7967,81.63,78,32,10.58,scattered clouds
524,Strezhevoy,RU,60.7333,77.5889,47.61,73,97,7.16,overcast clouds
525,Alyangula,AU,-13.8483,136.4192,64.26,66,98,9.89,overcast clouds
526,Popondetta,PG,-8.7537,148.2534,74.21,86,20,2.13,few clouds
527,Villarrica,PY,-25.75,-56.4333,76.44,59,99,5.19,overcast clouds
528,Vicuna,CL,-30.0319,-70.7081,70.77,44,1,2.82,clear sky
529,Morehead,US,37.2711,-87.1764,95.99,53,0,4.61,clear sky
530,Amahai,ID,-3.3333,128.9167,74.28,79,73,4.12,broken clouds
531,Mocuba,MZ,-16.8392,36.9856,62.56,92,0,1.03,clear sky
532,Springbok,ZA,-29.6643,17.8865,51.8,52,98,4.07,overcast clouds
533,Nanortalik,GL,60.1432,-45.2371,48.79,79,22,3.58,few clouds
534,Saint-Ambroise,CA,48.5501,-71.3324,83.57,46,58,6.13,broken clouds
535,Padang,ID,-0.9492,100.3543,77.95,86,97,4.34,overcast clouds
536,Nicoya,CR,10.1483,-85.452,79.43,85,95,2.42,overcast clouds
537,Moen,NO,69.1304,18.6123,52.86,71,75,8.05,light rain
538,Inhambane,MZ,-23.865,35.3833,66.47,83,0,4.99,clear sky
539,Ushtobe,KZ,45.2514,77.9838,76.08,33,1,0.98,clear sky
540,Tucurui,BR,-3.7661,-49.6725,81.73,58,33,3.62,scattered clouds
541,Lokosovo,RU,61.1333,74.8167,47.5,74,9,6.06,clear sky
542,Parana,AR,-31.732,-60.5238,72.55,69,16,7.23,few clouds
543,Blackwater,AU,-23.5833,148.8833,53.29,87,0,6.6,clear sky
544,Saint-Georges,GD,12.0564,-61.7485,85.68,70,20,13.8,few clouds
545,Sept-Iles,CA,50.2001,-66.3821,67.05,89,75,3.44,mist
546,Fasa,IR,28.9383,53.6482,81.64,32,74,4.61,broken clouds
547,Zaysan,KZ,47.4667,84.8667,62.65,79,94,4.52,overcast clouds
548,Oudtshoorn,ZA,-33.5907,22.2014,52.16,65,100,2.84,overcast clouds
549,Kidal,ML,18.4411,1.4078,97.61,15,84,7.36,broken clouds
550,Kudahuvadhoo,MV,2.6708,72.8944,82.63,74,99,14.92,overcast clouds
551,Nome,US,64.5011,-165.4064,46.17,95,100,14.23,light rain
552,Ust-Barguzin,RU,53.45,108.9833,56.46,99,97,2.06,light rain
553,Conop,RO,46.1,21.8833,74.61,32,2,2.95,clear sky
554,Kaarina,FI,60.4072,22.369,68.32,90,0,9.22,clear sky
555,Pontal Do Parana,BR,-25.6533,-48.5128,76.95,50,0,4.61,clear sky
556,Shubarshi,KZ,48.5872,57.1869,72.46,53,51,5.3,broken clouds
557,Bengkulu,ID,-3.8004,102.2655,75.09,88,90,4.16,overcast clouds
558,Obihiro,JP,42.9172,143.2044,63.12,99,100,1.07,light rain
559,Guilin,CN,25.2819,110.2864,77.11,90,1,1.7,clear sky
560,Nioro,GM,13.35,-15.75,75.94,91,100,9.55,overcast clouds
561,Vardablur,AM,40.9708,44.5089,59.76,84,88,3.33,overcast clouds
562,Koungheul,SN,13.9833,-14.8,78.12,84,89,10.4,overcast clouds
563,Vuktyl,RU,63.8567,57.3094,44.17,82,45,2.59,scattered clouds
564,Sakakah,SA,29.9697,40.2064,96.37,16,1,11.34,clear sky
565,Port Lincoln,AU,-34.7333,135.8667,51.15,75,66,6.24,broken clouds
