City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
427,Kamariotissa,GR,78.4,clear sky,40.4833,25.4667,Niki Beach
428,Bhavnagar,IN,80.26,overcast clouds,21.7667,72.15,Hotel Mausam
435,Shimoda,JP,79.11,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
441,Mabaruma,GY,82.35,few clouds,8.2,-59.7833,Monty Brooms Guest House
445,San Policarpo,PH,80.28,overcast clouds,12.1791,125.5072,Agapita M. Nicart
446,Port Hawkesbury,CA,82.9,overcast clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
447,Guanica,PR,87.51,broken clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
448,Boromo,BF,79.03,light rain,11.75,-2.9333,Sama Camp
452,Porong,ID,75.11,broken clouds,-7.5452,112.6955,Pondok Pesantren Darunnajah
454,Wanning,CN,78.19,clear sky,18.8003,110.3967,Paradise Hotel
455,Bar Harbor,US,87.35,scattered clouds,44.3876,-68.2039,Atlantic Oceanside Hotel & Event Center
457,Kimbe,PG,75.87,broken clouds,-5.5502,150.1429,Kimbe Bay Hotel
459,Itarema,BR,79.77,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
464,Bensonville,LR,78.35,broken clouds,6.4461,-10.6125,Moinga
466,Manavgat,TR,80.91,clear sky,36.7867,31.4431,Lake & River Side Hotel & Spa
467,Sidi Ali,DZ,75.94,clear sky,36.0998,0.4206,Complexe touristique haje bezine
473,Bay Roberts,CA,79.05,scattered clouds,47.5999,-53.2648,Stonewall Inn
474,Nushki,PK,86.7,overcast clouds,29.5542,66.0215,Shams hotel
475,Trincomalee,LK,80.2,overcast clouds,8.5711,81.2335,Welcombe Hotel
476,Birjand,IR,84.67,clear sky,32.8663,59.2211,Birjand Tourist Hotel
480,Oussouye,SN,77.18,moderate rain,12.485,-16.5469,Auberge du Routard
481,Santiago Del Estero,AR,77.38,broken clouds,-27.7951,-64.2615,Apartamentos Castelli 90
482,Kulhudhuffushi,MV,81.7,overcast clouds,6.6221,73.07,Haajy Guest House 1
483,Huron,US,88.18,scattered clouds,41.1501,-82.5499,Meadow Brook Mobile Estates
485,Sanchor,IN,83.8,overcast clouds,24.7553,71.7722,Hotel Amar Palace & AC Restaurant
490,Awbari,LY,83.7,clear sky,26.5921,12.7805,فندق أوباري
495,Nishihara,JP,83.68,broken clouds,26.1842,127.7558,Minshuku Agaihama
498,Algiers,DZ,76.82,scattered clouds,36.7525,3.042,Sofitel Algiers Hamma Garden
500,Houlton,US,83.71,scattered clouds,46.1262,-67.8403,Ivey's Motor Lodge Houlton
503,San Pedro,PH,81.63,scattered clouds,14.35,121.0167,Palines Apartment and Guesthouse
505,Tateyama,JP,79.11,clear sky,34.9833,139.8667,Tateyama Seaside Hotel
507,Sorong,ID,76.64,broken clouds,-0.8833,131.25,Waigo Splash Hotel
512,Namatanai,PG,79.2,clear sky,-3.6667,152.4333,Seagulls Inn Namatani
518,Pacifica,US,88.0,haze,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
520,Marshfield,US,87.66,clear sky,44.6689,-90.1718,"Holiday Inn Conference Ctr Marshfield, an IHG Hotel"
521,Biabas,PH,77.02,broken clouds,9.8,124.4667,Inday Dajeros Holiday Home Bohol
523,Kavieng,PG,81.63,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
527,Villarrica,PY,76.44,overcast clouds,-25.75,-56.4333,Mansión Reljuv Tours SA
534,Saint-Ambroise,CA,83.57,broken clouds,48.5501,-71.3324,Motel Saint-Ambroise
535,Padang,ID,77.95,overcast clouds,-0.9492,100.3543,Mercure Padang
536,Nicoya,CR,79.43,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
539,Ushtobe,KZ,76.08,clear sky,45.2514,77.9838,"Gostinitsa ""Diyar"""
540,Tucurui,BR,81.73,scattered clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
544,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
546,Fasa,IR,81.64,broken clouds,28.9383,53.6482,Fasa University Boys' Dormitory
550,Kudahuvadhoo,MV,82.63,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
555,Pontal Do Parana,BR,76.95,clear sky,-25.6533,-48.5128,Eco Hostel Residencial Bananeiras
557,Bengkulu,ID,75.09,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
559,Guilin,CN,77.11,clear sky,25.2819,110.2864,Grand 0773 Hotel
562,Koungheul,SN,78.12,overcast clouds,13.9833,-14.8,Statation petrodis
